geo_value,time_value,value,stderr
wa,2022-05-03,15.2699181,0.9340441
wi,2022-05-03,14.6834799,1.0482826
wv,2022-05-03,15.8275282,1.7936546
wy,2022-05-03,8.9219037,2.6812893
ak,2022-05-04,18.8876838,3.1438868
al,2022-05-04,19.1524737,1.5023542
ar,2022-05-04,20.4477027,1.8276209
az,2022-05-04,14.6371267,1.1364635
ca,2022-05-04,13.5414504,0.523563
co,2022-05-04,15.7086027,1.1875047
ct,2022-05-04,13.9140656,1.2562389
dc,2022-05-04,14.2890162,3.3991198
de,2022-05-04,9.4897431,1.9941106
fl,2022-05-04,13.0593406,0.5816492
ga,2022-05-04,13.7717862,0.9576125
hi,2022-05-04,10.840697,2.27348
ia,2022-05-04,14.476239,1.3465767
id,2022-05-04,13.6805553,1.9270181
il,2022-05-04,13.3871727,0.7507899
in,2022-05-04,17.241514,1.1302312
ks,2022-05-04,18.6401053,1.6806937
ky,2022-05-04,16.1912184,1.3885931
la,2022-05-04,18.2703977,1.5868521
ma,2022-05-04,13.9954377,1.0484462
md,2022-05-04,16.6188524,1.2798214
me,2022-05-04,12.4467583,1.5666528
mi,2022-05-04,12.6501535,0.7103248
mn,2022-05-04,15.3009525,1.1887409
mo,2022-05-04,15.6206432,1.1492138
ms,2022-05-04,16.7459619,1.8565594
mt,2022-05-04,22.1116448,2.6901741
nc,2022-05-04,15.0115962,0.8988804
nd,2022-05-04,13.9376864,3.1614838
ne,2022-05-04,10.621336,1.6468882
nh,2022-05-04,12.4428563,1.8716543
nj,2022-05-04,10.6929494,0.9377279
nm,2022-05-04,21.6011762,2.0185968
nv,2022-05-04,14.795898,1.8738166
ny,2022-05-04,15.3549304,0.6844969
oh,2022-05-04,17.2493762,0.8795771
ok,2022-05-04,18.9827329,1.6555515
or,2022-05-04,15.7574706,1.245292
pa,2022-05-04,14.5261511,0.7640259
ri,2022-05-04,14.0478969,2.5143271
sc,2022-05-04,9.3645456,0.9793108
sd,2022-05-04,9.4341762,2.2218391
tn,2022-05-04,15.0838294,1.1254388
tx,2022-05-04,15.02006,0.6375718
ut,2022-05-04,17.5644439,1.7647887
va,2022-05-04,13.5612089,0.899027
vt,2022-05-04,13.5884831,2.5261662
wa,2022-05-04,15.9194314,0.9574935
wi,2022-05-04,13.8999695,1.0407038
wv,2022-05-04,15.4609244,1.8258917
wy,2022-05-04,9.9848559,2.7596442
ak,2022-05-05,14.2540526,2.7053144
al,2022-05-05,17.4603573,1.4536348
ar,2022-05-05,20.4509406,1.8147206
az,2022-05-05,13.8490902,1.1002852
ca,2022-05-05,14.026619,0.5324194
co,2022-05-05,15.2074756,1.1807136
ct,2022-05-05,13.716029,1.2603789
dc,2022-05-05,14.7524741,3.5462824
de,2022-05-05,8.4282345,1.9216574
